Gene	Isoform	ExplogFC/FC	P
ENSG00000000003	Expression	0.00116738297141614	0.9845025
ENSG00000000003	ENST00000373020	0.99841055902186	0.97051
ENSG00000000003	ENST00000496771	1.2881064538084	0.23466
ENSG00000000003	ENST00000614008	1.00221491203677	0.94091
ENSG00000000419	Expression	-0.00316280070591433	0.986205
ENSG00000000419	ENST00000371582	1.07372854627394	0.8573475
ENSG00000000419	ENST00000371584	1.01547839264589	0.9137
ENSG00000000419	ENST00000371588	0.987906887299234	0.986055
ENSG00000000419	ENST00000466152	0.956698998326636	0.9126
ENSG00000000419	ENST00000682366	1.03945654592478	0.910385
ENSG00000000419	ENST00000682713	1.00097376038368	0.9226375
ENSG00000000419	ENST00000682754	1.04199454648448	0.9013975
ENSG00000000419	ENST00000683010	1.12610576088751	0.73167
ENSG00000000419	ENST00000683048	1.10564650971815	0.78247
ENSG00000000419	ENST00000684193	0.976807382107721	0.919955
ENSG00000000419	ENST00000684628	1.03848002243607	0.9007625
ENSG00000000457	Expression	-0.0225023517569224	0.95616
ENSG00000000457	ENST00000367771	1.05601863497524	0.9835975
ENSG00000000457	ENST00000367772	0.884963975512967	0.91127
ENSG00000000971	Expression	-1.51799175262886	0
ENSG00000000971	ENST00000367429	1.07472268425859	0.919455
ENSG00000000971	ENST00000466229	0.88435715105619	0.8713075
ENSG00000000971	ENST00000470918	0.830228084963872	0.652405
ENSG00000000971	ENST00000496761	1.3503426908743	0.101815
ENSG00000000971	ENST00000630130	0.786845687159046	0.40967
ENSG00000000971	ENST00000695968	1.11245826587808	0.7878825
ENSG00000000971	ENST00000695969	0.82495436533001	0.5936575
ENSG00000000971	ENST00000695970	1.12013849872296	0.793915
ENSG00000000971	ENST00000695972	0.991293471127765	0.9365425
ENSG00000000971	ENST00000695973	0.779953891975983	0.38809
ENSG00000000971	ENST00000695974	0.964038771591564	0.9595525
ENSG00000000971	ENST00000695975	0.953009384331853	0.94851
ENSG00000000971	ENST00000695976	0.764876661044567	0.3250025
ENSG00000000971	ENST00000695979	0.955660936921555	0.94676
